Player Name,Position,Height (inches),Weight (pounds),Draft Round,Draft Pick,College PPG,College RPG,College APG,College Shooting %,College 3PT %,College FT %,Rookie Year PPG,Rookie Year RPG,Rookie Year APG,Rookie FG%,Rookie 3PT%,Rookie FT%,Success
AJ Green,Guard,76,190,Undrafted,Undrafted,17.9,3.3,2.6,41.4,37.8,90,4.4,1.29,0.63,42.4,41.9,100,0
AJ Griffin,Forward,78,220,1,16,10.4,3.9,1,49.3,44.7,79.2,8.88,2.12,1.01,46.5,39,89.4,0
AJ Hammons,Center,84,260,2,46,12.1,7,0.8,53.9,26.1,69,2.18,1.64,0.18,40.5,50,45,0
AJ Price,Guard,74,195,2,52,13,3.4,4.7,41.3,36.5,72.2,7.32,1.57,1.89,41,34.5,80,0
Aaron Brooks,Guard,72,161,1,26,13.1,3.5,4.1,43,37.4,83.4,5.18,1.1,1.71,41.3,33,85.7,0
Aaron Gordon,Forward,80,235,1,4,12.4,8,2,49.5,35.6,42.2,5.17,3.6,0.7,44.7,27.1,72.1,0
Aaron Harrison,Guard,78,210,Undrafted,Undrafted,12.4,2.8,1.6,41,33.5,78.7,0.86,0.71,0.1,26.3,30,41.7,0
Aaron Henry,Forward,77,210,Undrafted,Undrafted,10,4.6,2.6,45.7,33.3,72.9,0.33,0.17,0,20,0,0,0
Aaron Holiday,Guard,72,185,1,23,14.3,3.2,4.7,45,42.2,79.5,5.88,1.34,1.74,40.1,33.9,82,0
Aaron Jackson,Guard,75,183,Undrafted,Undrafted,11.9,4.5,4.2,52.1,34.2,77.2,8,3,1,33.3,25,50,0
Aaron McKie,Guard,77,209,1,17,17.9,6.4,3.3,42.1,36.6,79,6.51,2.87,1.98,44.4,39.3,68.5,0
Aaron Miles,Guard,73,190,Undrafted,Undrafted,8.6,3.3,6.9,41.5,34.2,75.5,0.84,0.74,1.26,33.3,0,100,0
Aaron Nesmith,Guard-Forward,78,215,1,14,14.7,5.3,1.3,44.2,41,82.5,4.74,2.76,0.5,43.8,37,78.6,0
Aaron Swinson,Forward,77,230,Undrafted,Undrafted,16.9,7.8,1,60.9,0,62.5,2.67,0.89,0.33,55.6,0,80,0
Aaron Wiggins,Guard,77,190,2,55,11,4.6,1.6,40.7,36.1,76.9,8.32,3.56,1.36,46.3,30.4,72.9,0
Abdel Nader,Forward,77,225,2,58,10.3,4.3,1.1,39.1,30.5,73.1,3.04,1.48,0.54,33.6,35.4,59,0
Acie Earl,Forward-Center,83,240,1,19,15.3,7,1.2,50.8,28.6,68,5.54,3.34,0.16,40.6,0,67.5,0
Acie Law,Guard,75,202,1,11,13.7,3.1,4.5,46.6,35.7,76,4.2,1.02,2.02,40.1,20.6,79.2,0
Adam Harrington,Guard,77,200,Undrafted,Undrafted,12.5,3.3,1.8,39.1,35,73.1,0.85,0.15,0.15,23.5,33.3,100,0
Adam Keefe,Forward,81,230,1,10,18.6,9,1.7,60,46.7,73.6,6.61,5.27,0.98,50,0,70,0
Adam Morrison,Forward,80,205,1,3,19.7,5.1,2,50.3,36.8,76.1,11.76,2.95,2.09,37.6,33.7,71,0
Adama Sanogo,Forward,81,245,Undrafted,Undrafted,13.9,7.3,1,56,35.8,71.5,4,4,0,51.9,0,66.7,0
Ade Murkey,Guard,77,200,Undrafted,Undrafted,10.6,4,2,46.9,35.3,73.1,0,0,0,0,0,0,0
Admiral Schofield,Forward,77,241,2,42,11.9,5.3,1.3,45.8,38.7,76.3,3,1.42,0.45,38,31.1,66.7,0
Adonal Foyle,Center,82,270,1,8,20.4,12.7,1.5,54.7,10,49.1,3,3.35,0.25,40.6,0,43.5,0
Adonis Jordan,Guard,71,170,2,42,10,2.5,4.1,46.3,41,75.5,2.5,1,3.17,26.1,30,0,0
Adonis Thomas,Guard-Forward,79,240,Undrafted,Undrafted,10.7,4,1.5,42.6,32.5,74.5,1.75,0.75,0.5,33.3,0,100,0
Adreian Payne,Forward,82,237,1,15,8.9,5.3,0.6,52.6,40.9,75.5,1.67,1.33,0,28.6,0,50,0
Adrian Branch,Forward,79,185,2,46,16.4,4.4,2.4,48.6,35.8,74.8,4.31,1.66,0.5,50,0,77.8,0
Adrian Griffin,Guard-Forward,77,230,Undrafted,Undrafted,11.5,6.5,2.2,50.6,27.8,65.4,6.74,5.17,2.46,42.4,28.1,75.3,0
Ahmad Caver,Guard,74,174,,,11.3,3.2,4.5,37.7,33.2,65.2,2,0,0,100,0,0,0
Greg Foster,Center,83,250,2,35,8.2,5.2,0.9,48.1,0,66.1,4.37,2.8,0.69,46,0,68.9,0
Greg Graham,Guard,76,174,1,17,12,3.1,2.3,51.4,43.9,76.6,4.83,1.23,0.94,40,8,83.6,0
Greg Grant,Guard,67,140,2,52,5.5,6.1,0.9,43.2,0,61.3,3.1,0.88,2.51,38.4,18.8,66.1,0
Greg Minor,Guard,78,210,1,25,12.6,5.6,2.4,50.7,36.3,73.9,5.98,2.17,1.05,51.5,16.7,83.3,0
Greg Monroe,Forward-Center,82,250,1,7,14.5,8.2,3.2,54.3,27.3,67.7,9.39,7.51,1.31,55.1,0,62.2,0
Greg Ostertag,Center,86,280,1,28,7.6,6.1,0.3,55,0,60.4,3.65,3.07,0.09,47.3,0,66.7,0
Greg Stiemsma,Center,83,260,Undrafted,Undrafted,2.7,2.3,0.8,54.5,0,75.9,2.93,3.22,0.51,54.5,0,70.7,0
Greg Sutton,Guard,74,185,2,49,21.9,4.3,3.2,37.9,33.1,65.6,3.67,0.7,1.36,38.8,29.2,75.6,0
Greg Whittington,Forward,80,210,Undrafted,Undrafted,6.5,4,1.2,42.4,33.3,62,0,0,0,0,0,0,0
Greivis Vasquez,Guard,78,217,1,28,16,4.8,5.7,42.5,32.9,82.8,3.56,1.04,2.16,40.8,29.1,77.3,0
Guy Rucker,Forward-Center,81,270,,,8,4.3,0.6,49.9,0,64.4,0,0.33,0.33,0,0,0,0
Hakim Warrick,Forward,81,219,1,19,15.4,7.6,1.5,53.6,25,65.9,4.09,2.12,0.44,44.3,0,66.1,0
Hamady Ndiaye,Center,84,235,2,56,5.8,5.5,0.4,53.9,0,59.2,0.88,0.44,0,80,0,50,0
Hamidou Diallo,Guard,77,202,2,45,10,3.6,1.2,42.8,33.8,61.6,3.73,1.9,0.33,45.5,16.7,61,0
